Spot Time,Spot Date,Spot Price,Expiration Date,Symbol,Intrinsic Value,Last,Chg,Bid,Ask,Volume,Open Int,Delta,Gamma,Vega,Theta,Contract High,Strike
4:00:00 PM,9/25/2020,$108.22 ,10/2/2020,AAPL201002C103.75,4.37,6,0.5,5.9,6.05,1051,523,0.7125,0.0398,0.0547,-0.1854,94.55,103.75
4:00:00 PM,9/25/2020,$108.22 ,10/2/2020,AAPL201002C105,3.12,5.1,0.35,5,5.25,3111,3513,0.6612,0.0434,0.0585,-0.1967,27.12,105
4:00:00 PM,9/25/2020,$108.22 ,10/2/2020,AAPL201002C106.25,1.87,4.33,0.24,4.2,4.4,2446,1574,0.6052,0.0463,0.0619,-0.2048,29.55,106.25
4:00:00 PM,9/25/2020,$108.22 ,10/2/2020,AAPL201002C107.5,0.62,3.6,0.2,3.55,3.7,10299,7077,0.5461,0.0487,0.0636,-0.2068,27.54,107.5
4:00:00 PM,9/25/2020,$108.22 ,10/2/2020,AAPL201002C108.75,0,2.92,0.11,2.88,3,9176,4146,0.4847,0.0495,0.0639,-0.2059,27.15,108.75
4:00:00 PM,9/25/2020,$108.22 ,10/2/2020,AAPL201002C110,0,2.35,0.02,2.3,2.41,31737,14005,0.4223,0.0494,0.0626,-0.1982,75.2,110
4:00:00 PM,9/25/2020,$108.22 ,10/2/2020,AAPL201002C111.25,0,1.83,-0.04,1.8,1.87,10189,6609,0.3606,0.048,0.06,-0.1859,24.43,111.25
4:00:00 PM,9/25/2020,$108.22 ,10/2/2020,AAPL201002C112.5,0,1.43,0.02,1.37,1.45,13930,16152,0.3008,0.0455,0.0558,-0.1688,23.1,112.5
4:00:00 PM,9/25/2020,$108.22 ,10/2/2020,AAPL201002C113.75,0,1.04,-0.11,1.04,1.09,5016,6057,0.2462,0.0416,0.0507,-0.1498,25.03,113.75
4:00:00 PM,9/25/2020,$108.22 ,10/2/2020,AAPL201002C115,0,0.79,-0.09,0.76,0.8,50678,20169,0.1975,0.037,0.0448,-0.1295,24.03,115
4:00:00 PM,9/25/2020,$108.22 ,10/16/2020,AAPL201016C106.25,1.87,6.63,0.73,6.2,6.35,557,7704,0.5818,0.0293,0.1037,-0.1189,29.21,106.25
4:00:00 PM,9/25/2020,$108.22 ,10/16/2020,AAPL201016C107,1.12,6.12,0.57,5.8,6,1378,1348,0.5594,0.0297,0.1047,-0.1199,9.11,107
4:00:00 PM,9/25/2020,$108.22 ,10/16/2020,AAPL201016C107.5,0.62,5.62,0.27,5.5,5.65,1280,9905,0.5445,0.0298,0.1053,-0.1206,29.19,107.5
4:00:00 PM,9/25/2020,$108.22 ,10/16/2020,AAPL201016C108,0.12,5.35,0.35,5.35,5.4,3215,5184,0.5294,0.0301,0.1057,-0.1203,8.55,108
4:00:00 PM,9/25/2020,$108.22 ,10/16/2020,AAPL201016C108.75,0,4.95,0.25,4.95,5.1,1897,4867,0.5069,0.0302,0.106,-0.1206,84,108.75
4:00:00 PM,9/25/2020,$108.22 ,10/16/2020,AAPL201016C109,0,4.85,0.25,4.8,4.9,2203,1589,0.4993,0.0302,0.106,-0.1204,7.55,109
4:00:00 PM,9/25/2020,$108.22 ,10/16/2020,AAPL201016C110,0,4.4,0.2,4.35,4.45,16058,58310,0.469,0.0304,0.1055,-0.1191,28.57,110
4:00:00 PM,9/25/2020,$108.22 ,10/16/2020,AAPL201016C111,0,3.98,0.23,3.9,4,2520,1534,0.439,0.0302,0.1048,-0.1175,6.55,111
4:00:00 PM,9/25/2020,$108.22 ,10/16/2020,AAPL201016C111.25,0,4,0.32,3.8,3.9,1480,6359,0.4311,0.0303,0.1045,-0.1165,80.5,111.25
4:00:00 PM,9/25/2020,$108.22 ,10/16/2020,AAPL201016C112,0,3.54,0.24,3.5,3.6,3022,2872,0.4087,0.0301,0.1033,-0.1146,6.33,112
4:00:00 PM,9/25/2020,$108.22 ,10/23/2020,AAPL201023C105,3.12,8.1,0.86,7,7.85,284,1168,0.6103,0.025,0.1171,-0.1018,21,105
4:00:00 PM,9/25/2020,$108.22 ,10/23/2020,AAPL201023C106,2.12,7.26,0.57,6.15,8.05,183,381,0.5846,0.0254,0.119,-0.1034,14.12,106
4:00:00 PM,9/25/2020,$108.22 ,10/23/2020,AAPL201023C107,1.12,7,0.72,5.85,6.9,743,896,0.5587,0.0259,0.1202,-0.104,13.3,107
4:00:00 PM,9/25/2020,$108.22 ,10/23/2020,AAPL201023C108,0.12,6.1,0.35,5.5,6.2,346,1179,0.5325,0.0262,0.1212,-0.1042,12.55,108
4:00:00 PM,9/25/2020,$108.22 ,10/23/2020,AAPL201023C109,0,5.7,0.35,5.5,5.7,428,925,0.5063,0.0264,0.1218,-0.1043,13.9,109
4:00:00 PM,9/25/2020,$108.22 ,10/23/2020,AAPL201023C110,0,5.15,0.22,5.05,5.25,3429,38899,0.4796,0.0266,0.1216,-0.1031,16.65,110
4:00:00 PM,9/25/2020,$108.22 ,10/23/2020,AAPL201023C111,0,4.74,0.34,4.05,5.4,783,1246,0.4535,0.0265,0.1209,-0.1023,12,111
4:00:00 PM,9/25/2020,$108.22 ,10/23/2020,AAPL201023C112,0,4.35,0.39,4.25,4.35,243,1435,0.4276,0.0263,0.1197,-0.101,12.2,112
4:00:00 PM,9/25/2020,$108.22 ,10/23/2020,AAPL201023C113,0,3.95,0.3,2.59,3.95,280,986,0.4016,0.0261,0.1181,-0.0988,9.7,113
